id,round,team_1_id,team_2_id
0,0,team-0,team-1
1,0,team-2,team-3
2,0,team-4,team-5
3,0,team-6,team-7
4,0,team-8,team-9
5,0,team-10,team-11
6,0,team-12,team-13
7,0,team-14,team-15
8,0,team-16,team-17
9,0,team-18,team-19
10,0,team-20,team-21
11,0,team-22,team-23
12,0,team-24,team-25
13,0,team-26,team-27
14,0,team-28,team-29
15,0,team-30,team-31
16,0,team-32,team-33
17,0,team-34,team-35
18,0,team-36,team-37
19,0,team-38,team-39
20,0,team-40,team-41
21,0,team-42,team-43
22,0,team-44,team-45
23,0,team-46,team-47
24,0,team-48,team-49
25,0,team-50,team-51
26,0,team-52,team-53
27,0,team-54,team-55
28,0,team-56,team-57
29,0,team-58,team-59
30,0,team-60,team-61
31,0,team-62,team-63
32,1,winner-0,winner-1
33,1,winner-2,winner-3
34,1,winner-4,winner-5
35,1,winner-6,winner-7
36,1,winner-8,winner-9
37,1,winner-10,winner-11
38,1,winner-12,winner-13
39,1,winner-14,winner-15
40,1,winner-16,winner-17
41,1,winner-18,winner-19
42,1,winner-20,winner-21
43,1,winner-22,winner-23
44,1,winner-24,winner-25
45,1,winner-26,winner-27
46,1,winner-28,winner-29
47,1,winner-30,winner-31
48,2,winner-32,winner-33
49,2,winner-34,winner-35
50,2,winner-36,winner-37
51,2,winner-38,winner-39
52,2,winner-40,winner-41
53,2,winner-42,winner-43
54,2,winner-44,winner-45
55,2,winner-46,winner-47
56,3,winner-48,winner-49
57,3,winner-50,winner-51
58,3,winner-52,winner-53
59,3,winner-54,winner-55
60,4,winner-56,winner-57
61,4,winner-58,winner-59
62,5,winner-60,winner-61
