team_id,round_1,round_2,round_3,round_4,round_5,round_6
0,98.1,81.2,54.5,32.0,17.0,8.2
1,1.9,0.5,0.0,0.0,0.0,0.0
2,61.8,14.4,6.3,2.2,0.7,0.2
3,38.2,3.9,1.2,0.3,0.1,0.0
4,78.3,41.7,17.1,7.5,3.0,1.1
5,21.8,5.7,0.6,0.1,0.0,0.0
6,69.9,40.9,17.8,8.4,3.5,1.3
7,30.1,11.7,2.6,0.7,0.1,0.0
8,50.0,23.6,8.2,3.1,1.0,0.3
9,50.0,20.0,5.7,1.7,0.5,0.1
10,81.0,50.0,22.5,10.2,4.3,1.6
11,19.0,6.4,0.9,0.1,0.0,0.0
12,60.1,19.7,10.0,4.1,1.6,0.5
13,39.9,6.6,2.5,0.6,0.1,0.0
14,98.0,73.0,50.0,29.1,16.0,7.9
15,2.0,0.7,0.2,0.0,0.0,0.0
16,97.9,83.6,63.3,38.9,22.8,13.9
17,2.1,0.6,0.1,0.0,0.0,0.0
18,49.2,8.0,3.6,1.2,0.3,0.1
19,50.8,7.7,3.5,1.1,0.3,0.1
20,57.7,26.7,7.7,2.8,0.9,0.3
21,42.3,15.3,2.6,0.7,0.2,0.0
22,71.5,45.5,17.2,7.7,3.3,1.4
23,28.5,12.5,2.0,0.4,0.1,0.0
24,51.7,20.2,7.9,2.9,1.1,0.4
25,48.3,14.9,4.9,1.4,0.4,0.1
26,98.1,64.7,33.3,16.6,8.1,4.1
27,1.9,0.3,0.0,0.0,0.0,0.0
28,65.1,27.2,13.4,5.6,2.4,1.1
29,34.9,7.1,2.2,0.5,0.1,0.0
30,98.0,65.1,38.2,20.2,10.7,5.9
31,2.0,0.5,0.1,0.0,0.0,0.0
32,98.0,86.1,66.2,44.5,26.6,16.6
33,2.0,0.4,0.1,0.0,0.0,0.0
34,54.9,8.9,4.1,1.5,0.4,0.1
35,45.1,4.6,1.8,0.5,0.1,0.0
36,62.8,37.1,12.7,5.9,2.4,1.0
37,37.2,16.3,2.9,0.9,0.2,0.0
38,66.9,34.8,10.7,4.6,1.6,0.6
39,33.1,11.9,1.5,0.4,0.1,0.0
40,58.0,28.0,11.9,4.3,1.5,0.6
41,42.0,14.4,4.5,1.0,0.2,0.1
42,77.9,49.3,24.8,10.8,4.7,2.2
43,22.1,8.4,2.0,0.3,0.1,0.0
44,63.0,26.8,13.9,5.5,2.2,1.0
45,37.0,8.8,3.1,0.7,0.1,0.0
46,92.0,61.8,39.1,19.1,9.5,5.0
47,8.0,2.7,0.8,0.1,0.0,0.0
48,98.0,77.6,53.2,30.0,17.7,8.9
49,2.0,0.5,0.1,0.0,0.0,0.0
50,55.7,13.9,6.3,2.2,0.8,0.2
51,44.3,8.0,3.2,0.9,0.2,0.0
52,66.0,39.3,17.4,7.8,3.6,1.5
53,34.0,14.3,3.7,1.0,0.2,0.0
54,67.7,35.0,13.6,5.6,2.4,0.8
55,32.3,11.5,2.5,0.6,0.1,0.0
56,57.9,21.7,8.2,3.1,1.1,0.4
57,42.1,10.1,2.4,0.6,0.2,0.0
58,91.2,65.3,35.3,19.4,10.2,4.8
59,8.8,2.9,0.3,0.1,0.0,0.0
60,59.2,18.8,7.5,2.8,1.1,0.3
61,40.8,6.3,1.8,0.4,0.1,0.0
62,98.0,74.3,44.5,25.6,14.5,7.2
63,2.0,0.6,0.1,0.0,0.0,0.0
